exportIFC_USDToIFC	导出IFC
y2dSpre_CLMU_BE	
y2dSpre_AHW_BE	
y2dSpre_CLMU_ELEV	
y2dSpre_CLMU_WAH	
y2dSpre_CLMU_RESET	
y2dSpre_TEMP_SETNODE	
y2dSpre_TEMP_UNITEMP	
y2dSpre_TEMP_SETGRAD	
y2dSpre_TEMP_AUTOGRAD	
y2dSpre_SHOWLCS	
y2dSpre_TEMP_SHOWFIV	
y2dSpre_TEMP_AUTOFIRE	
y2dSpre_TEMP_DELALL	
y2dSpre_LLCO_SETBEAM	
y2dSpre_LLCO_SETCOLUMN	
y2dSpre_LLCO_SETBRACE	
y2dSpre_LLCO_SETWALL	
y2dSpre_LLCO_SETBEAMM	
y2dSpre_LLCO_SETCOLUMNM	
y2dSpre_LLCO_SETBRACEM	
y2dSpre_LLCO_SETWALLM	
y2dSpre_LLCO_CLEARFLR	
y2dSpre_LLCO_CLEARALL	
y2dSpre_GENDATA	生成计算所需数据并给出数据检查文件
y2dSpre_GEN_CHECK	打开数据检查文件Check.Out
y2dSpre_JSJTPLAN	用平面图方式显示各层计算简图
y2dSpre_JSJT3D	用三维轴测图方式显示计算简图
y2dSpre_JSJT3DAT	采用取大值算法时分别显示剖分后的各塔
y2dSpre_JSJT3DBO	施工模拟各施工步模型示意
y2dSpre_SpecDef_BNTF	
y2dSpre_showspecsb	
y2dSpre_mtauto	
y2dSpre_mtelev	
y2dSpre_mt3d	
y2dSpre_spwind+x	
y2dSpre_spwind-x	
y2dSpre_spwind+y	
y2dSpre_spwind-y	
y2dSpre_ViewCheck	
YJKDesign2D_Pre_Setting	前处理-计算参数
YJKDesign2D_Pre_PortalSign	前处理-门刚标记
YJKDesign2D_Pre_LXYYWD	前处理-下翼缘稳定
YJKDesign2D_Pre_Stiffener	前处理-横向加劲肋
YJKDesign2D_Pre_WTRatio	前处理-宽厚比等级
YJKDesign2D_Pre_CalcLength	前处理-计算长度系数
YJKDesign2D_Pre_KZDJ	前处理-抗震等级
YJKDesign2D_Pre_MainCom	前处理-主构件指定
YJKDesign2D_Pre_JMSectRatio	前处理-净毛截面比
YJKDesign2D_Pre_Material	前处理-材料强度修改
YJKDesign2D_Pre_CXBLimit	前处理-长细比限值修改
YJKDesign2D_Pre_ComRework	前处理-构件修改
YJKDesign2D_Pre_FHSW	前处理-防火升温
YJKDesign2D_Pre_LocalXYZ	前处理-局部坐标系
YJKDesign2D_Pre_SSfactor	前处理-截面形状系数
YJKDesign2D_Pre_GenFEA	前处理-生成数据
YJKDesign2D_Pre_ShowFEA	前处理-计算简图
YJKDesign2D_Pre_Calc	前处理-仅计算
YJKDesign2D_Pre_Dsn	前处理-仅设计
YJKDesign2D_Pre_All	前处理-生成数据并计算与设计
YJKDesign2D_Pre_CalcAndDsn	前处理-计算并设计
YJKDesign2D_Pre_BackToMenGang2D	前处理-返回
YJKDesign2D_Dsn_Setting	设计结果-参数设置
YJKDesign2D_Dsn_ComponentID	设计结果-构件编号
YJKDesign2D_Dsn_ShowLoad	设计结果-荷载简图
YJKDesign2D_Dsn_ShowRebar	设计结果-配筋简图
YJKDesign2D_Dsn_ShowAntiFire	设计结果-防火结果简图
YJKDesign2D_Dsn_ShowBeamDef	设计结果-挠度简图
YJKDesign2D_Dsn_ShowHTRatio	设计结果-高厚比简图
YJKDesign2D_Dsn_ShowCalcLength	设计结果-计算长度简图
YJKDesign2D_Dsn_ShowForce	设计结果-内力简图
YJKDesign2D_Dsn_ShowSupAntiForce	设计结果-支座反力
YJKDesign2D_Dsn_ShowEnvelopeForce	设计结果-内力包络
YJKDesign2D_Dsn_ShowDisp	设计结果-位移简图
YJKDesign2D_Dsn_MultiModel	设计结果-模型切换
YJKDesign2D_Dsn_ShowModeDef	设计结果-振型简图
YJKDesign2D_Dsn_GrapStitch	设计结果-图形拼接
YJKDesign2D_Dsn_ComInfo	设计结果-构件信息
YJKDesign2D_Dsn_TextResult	设计结果-文本结果
YJKDesign2D_Dsn_StructReport	设计结果-计算书
YJKDesign2D_Dsn_ShowSglDtlReport	设计结果-构件详细
YJKDesign2D_Dsn_OverlimitInfo	设计结果-超限信息
YJKDesign2D_Dsn_CalLenCofInfo	设计结果-计算长度系数
YJKDesign2D_Dsn_BackToMenGang2D	设计结果-返回
y2dSpre_abaqus	YJK->ABAQUS模型转换
y2dSpre_SpecDef	
y2dSpre_MultiTow	
y2dSpre_Wind	
y2dSpre_ColMu	
y2dSpre_TempL	
YJKDisplay_dsprunjiagutools_XGBeamCalc	型钢混凝土构件-梁承载力计算
YJKDisplay_dsprunjiagutools_XGColumnCalc	型钢混凝土构件-柱承载力计算
YJKDisplay_dsprunjiagutools_XGJointCalc	型钢混凝土构件-节点核心区计算
YJKDisplay_dsprunjiagutools	加固工具箱
YJKDisplay_dspResetProData	多塔工程分塔模型切换
YJKDisplay_dspResetSQKJData	少墙框架模型切换
YJKDisplay_dspResetXNSJData	性能设计子模型切换
YJKDisplay_dspResetXNSJGZData	隔震性能设计子模型切换
YJKDisplay_dspResetJZData	减震设计子模型切换
YJKDisplay_dspResetPoolData	水池设计子模型切换
yjkdesignexport_dsnTop	整体指标计算书
dzzl_soil_layer_param_table_BJHeat	为北京热力定制化开发的土层参数信息表
XSteelMG_Read	
XSteelMG_Load	
XSteelMG_BeamSplit	
XSteelMG_Parameter	
XSteelMG_ParameterNode	
XSteelMG_Design	
XSteelMG_Dwg	
